response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Cell,1,0.97,0.7056,0.2494,0.6874,2018-11-01 21:21:02
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,65 and older,Unknown,85 percent or higher,Cell,1,0.9126,1.2592,0.4673,1.2333,2018-11-01 21:23:44
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Henrico,65 and older,Unknown,85 percent or higher,Cell,1,0.97,1.1415,0.458,1.1119,2018-11-01 21:24:11
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Chesterfield,40 to 64,Unknown,85 percent or higher,Cell,1,0.9354,1.2846,0.6321,1.239,2018-11-01 21:26:53
Dem,65 and older,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,65 and older,White,85 percent or higher,Cell,1,0.9416,0.7921,0.3586,0.7733,2018-11-01 21:31:00
Rep,50 to 64,Graduate or Professional Degree,White,Female,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.97,0.6696,0.3468,0.6523,2018-11-01 21:31:23
Rep,65 and older,Bachelors' degree,Hispanic,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,Chesterfield,65 and older,Other Non-White,Less than 50 percent,Cell,1,0.2683,0.8767,1.1775,1.0808,2018-11-01 21:31:41
Dem,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,18 to 39,White,Less than 50 percent,Cell,0.7778,0.2439,1.004,2.1613,1.1288,2018-11-01 21:33:16
Und,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,Rest,18 to 39,Other Non-White,Less than 50 percent,Cell,0.7778,0.306,1.5304,3.196,1.6586,2018-11-01 21:34:28
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9664,1.0064,0.5086,0.9805,2018-11-01 21:37:55
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Rest,65 and older,White,50 to 85 percent,Cell,1,0.6623,0.6178,0.2997,0.6074,2018-11-01 21:42:25
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",Henrico,65 and older,White,50 to 85 percent,Landline,1,0.5934,1.4503,1.8787,1.5771,2018-11-01 21:44:49
Rep,50 to 64,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",Chesterfield,40 to 64,White,Less than 50 percent,Landline,0.5556,0.3646,0.9211,1.5503,0.6121,2018-11-01 21:48:38
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.97,0.8515,0.322,0.8295,2018-11-01 21:53:08
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.97,1.2713,0.8734,1.2384,2018-11-01 21:54:11
Und,35 to 49,Bachelors' degree,Black,Female,Other,Disapp.,Don't know,Favorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,Henrico,18 to 39,Black,Less than 50 percent,Landline,1,0.3056,1.4308,2.7435,1.7136,2018-11-01 21:59:35
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,Less than 50 percent,Landline,1,0.4076,0.8402,1.2657,0.9465,2018-11-01 21:59:44
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9313,0.8536,0.3633,0.8343,2018-11-01 22:04:40
Rep,18 to 34,Graduate or Professional Degree,Black,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Female,Somewhat likely,Republican,"White, 4-Year College Grads",Rest,18 to 39,Black,85 percent or higher,Cell,0.4444,0.9241,1.1648,0.6956,0.9962,2018-11-01 22:05:52
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.9643,1.1051,0.5544,1.083,2018-11-01 22:10:04
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",Chesterfield,18 to 39,White,50 to 85 percent,Landline,1,0.8283,1.279,0.8539,1.2916,2018-11-01 22:10:04
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Cell,0.5556,0.9287,0.7387,0.3478,0.6483,2018-11-01 22:10:22
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Cell,1,0.97,0.7739,0.3634,0.7538,2018-11-01 22:11:07
Und,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,Less than 50 percent,Landline,0.6667,0.2459,1.2049,3.964,1.2695,2018-11-01 22:12:20
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.97,0.699,0.3652,0.6844,2018-11-01 22:12:38
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Landline,1,0.9009,0.9812,0.5454,0.9625,2018-11-01 22:16:34
Und,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Chesterfield,40 to 64,Black,50 to 85 percent,Landline,1,0.5482,0.9847,0.8749,1.0469,2018-11-01 22:18:40
Dem,18 to 34,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Very likely,Democrat,Nonwhite,Rest,18 to 39,White,50 to 85 percent,Cell,0.7778,0.6185,1.0029,0.7494,0.9315,2018-11-01 22:28:16
Dem,35 to 49,Some college or trade school,Black,Male,Black,Approve,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Chesterfield,18 to 39,Black,Less than 50 percent,Landline,1,0.3173,1.1555,2.1253,1.3725,2018-11-01 22:28:16
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Cell,1,0.9375,0.8131,0.4059,0.7941,2018-11-01 22:29:55
Dem,35 to 49,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,Henrico,40 to 64,White,Less than 50 percent,Cell,1,0.438,0.9451,1.2427,1.0493,2018-11-01 22:30:26
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Cell,1,0.8592,0.7371,0.4614,0.7275,2018-11-01 22:30:44
Und,65 and older,High school,White,Female,White,Approve,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Henrico,65 and older,White,50 to 85 percent,Landline,1,0.8132,1.4503,1.3709,1.4034,2018-11-01 22:36:17
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,85 percent or higher,Landline,1,0.8959,1.7367,2.0095,1.6746,2018-11-01 22:37:29
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,40 to 64,White,50 to 85 percent,Cell,1,0.8045,0.838,0.5681,0.8348,2018-11-01 22:37:54
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Cell,1,0.8924,0.9373,0.4124,0.9205,2018-11-01 22:40:54
Dem,50 to 64,[DO NOT READ] Refused,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Other,Female,Almost certain,Democrat,Nonwhite,Rest,40 to 64,Black,50 to 85 percent,Cell,1,0.8062,1.148,1.2208,1.1433,2018-11-01 22:40:54
Dem,18 to 34,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,Chesterfield,18 to 39,White,Less than 50 percent,Cell,1,0.2034,1.004,2.592,1.3193,2018-11-01 22:40:54
Und,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Don't know,Don't know,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,Unknown,50 to 85 percent,Landline,0.8889,0.7616,0.7857,0.3877,0.7479,2018-11-01 22:42:24
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Chesterfield,18 to 39,White,50 to 85 percent,Cell,1,0.6018,0.755,0.5063,0.7495,2018-11-01 22:46:00
3,35 to 49,Some college or trade school,White,Male,White,Approve,Don't know,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",Chesterfield,40 to 64,White,Less than 50 percent,Cell,0.4444,0.361,0.7633,1.2128,0.4657,2018-11-01 22:46:51
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,40 to 64,White,50 to 85 percent,Cell,1,0.7806,0.6467,0.3395,0.6472,2018-11-01 22:48:48
Dem,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Democrat,Nonwhite,Henrico,18 to 39,Black,Less than 50 percent,Cell,0.6667,0.1872,1.6868,6.5057,1.188,2018-11-01 22:49:42
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Cell,1,0.8699,0.8131,0.4374,0.8011,2018-11-01 22:52:15
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Cell,1,0.8623,0.8456,0.5746,0.8469,2018-11-01 22:53:27
Dem,35 to 49,High school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Democrat,Nonwhite,Chesterfield,40 to 64,White,50 to 85 percent,Cell,1,0.5038,1.0399,1.6359,1.0537,2018-11-01 22:54:57
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Cell,1,0.97,0.8101,0.4851,0.7891,2018-11-01 22:57:21
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Cell,1,0.97,0.6397,0.2598,0.6231,2018-11-01 22:59:00
Dem,50 to 64,Some college or trade school,White,Male,Black,Approve,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),Nonwhite,Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.97,0.8709,0.4836,0.842,2018-11-01 22:59:00
Rep,35 to 49,Bachelors' degree,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",Rest,40 to 64,Other Non-White,50 to 85 percent,Landline,0.8889,0.5221,1.1063,0.9172,1.0755,2018-11-01 23:08:44
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,40 to 64,White,Less than 50 percent,Landline,1,0.2632,0.7126,1.3495,0.8824,2018-11-01 23:08:44
Rep,18 to 34,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Rest,18 to 39,White,Less than 50 percent,Cell,1,0.2913,1.3029,3.0973,1.4285,2018-11-01 23:09:56
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.9281,1.1051,0.576,1.0804,2018-11-01 23:10:05
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,50 to 85 percent,Landline,1,0.6232,0.6636,0.5308,0.6893,2018-11-01 23:12:40
Rep,50 to 64,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Rest,40 to 64,White,85 percent or higher,Landline,1,0.8734,0.8131,0.4357,0.8007,2018-11-01 23:13:16
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rest,18 to 39,White,85 percent or higher,Cell,1,0.97,0.9888,0.5828,0.9631,2018-11-01 23:15:02
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,40 to 64,White,50 to 85 percent,Cell,1,0.6341,0.7108,0.4962,0.7361,2018-11-01 23:15:56
Dem,[DO NOT READ] Refused,High school,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Henrico,40 to 64,Black,50 to 85 percent,Landline,1,0.8484,1.7885,1.9946,1.7682,2018-11-01 23:16:32
Und,35 to 49,Bachelors' degree,Black,Male,White,Don't know,Reps. keep House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Henrico,40 to 64,Black,Less than 50 percent,Cell,1,0.4183,0.9226,1.1461,0.958,2018-11-01 23:18:35
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.9246,0.8319,0.3801,0.8137,2018-11-01 23:19:11
Dem,35 to 49,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",Chesterfield,40 to 64,White,50 to 85 percent,Cell,1,0.6485,1.4942,2.0307,1.472,2018-11-01 23:19:29
Dem,50 to 64,Bachelors' degree,White,Male,Black,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Already voted,Independent (No party),Nonwhite,Chesterfield,40 to 64,White,50 to 85 percent,Cell,1,0.5521,0.5875,0.4074,0.6498,2018-11-01 23:23:14
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,18 to 39,White,Less than 50 percent,Cell,1,0.4714,1.2145,1.5642,1.329,2018-11-01 23:23:23
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,85 percent or higher,Cell,1,0.8901,1.4391,1.5665,1.4138,2018-11-01 23:24:08
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.97,0.8911,0.3673,0.8615,2018-11-01 23:24:44
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,Less than 50 percent,Landline,1,0.1382,0.7482,2.1054,1.0786,2018-11-01 23:31:02
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Don't know,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Rest,18 to 39,White,85 percent or higher,Landline,1,0.8551,0.9472,0.6279,0.9144,2018-11-01 23:31:32
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,50 to 85 percent,Cell,1,0.7554,0.709,0.3844,0.7132,2018-11-01 23:37:31
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Landline,1,0.8877,0.8131,0.4287,0.799,2018-11-01 23:38:43
Dem,65 and older,Grade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Henrico,65 and older,White,85 percent or higher,Landline,1,0.97,1.307,1.0424,1.2731,2018-11-01 23:39:56
3,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Chesterfield,65 and older,White,50 to 85 percent,Landline,0.7778,0.8372,0.9508,0.4671,0.9177,2018-11-01 23:41:52
Und,18 to 34,High school,White,Male,White,Don't know,Don't know,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Male,Not at all likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",Rest,18 to 39,White,Less than 50 percent,Cell,0,0.2956,1.6209,5.962,0.3843,2018-11-01 23:42:55
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.8711,0.7387,0.3708,0.7126,2018-11-01 23:43:49
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rest,40 to 64,White,50 to 85 percent,Landline,1,0.8367,0.7075,0.426,0.7009,2018-11-01 23:44:08
Rep,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,Chesterfield,40 to 64,White,50 to 85 percent,Cell,1,0.8076,0.7653,0.4636,0.762,2018-11-01 23:48:04
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.97,1.0301,0.4504,1.0034,2018-11-01 23:50:37
Dem,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,50 to 85 percent,Landline,1,0.6487,0.8442,0.5541,0.8708,2018-11-01 23:54:22
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Henrico,65 and older,White,85 percent or higher,Cell,1,0.9369,0.7739,0.3762,0.7559,2018-11-01 23:57:04
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.9006,0.8936,0.5016,0.8616,2018-11-01 23:57:31
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Cell,1,0.8798,1.0783,0.663,1.061,2018-11-01 23:57:31
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Rest,40 to 64,White,85 percent or higher,Cell,1,0.9649,1.1568,0.7396,1.1271,2018-11-02 00:00:22
3,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",Rest,18 to 39,White,Less than 50 percent,Cell,0,0.3711,1.0796,1.8832,0.277,2018-11-02 00:00:49
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.8518,0.8108,0.3524,0.8012,2018-11-02 00:00:58
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.9358,0.8319,0.3755,0.8127,2018-11-02 00:01:59
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Henrico,40 to 64,Black,85 percent or higher,Landline,1,0.9224,1.2955,0.8517,1.2674,2018-11-02 00:14:44
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.97,0.7711,0.3506,0.7511,2018-11-02 00:19:03
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",Chesterfield,18 to 39,White,85 percent or higher,Cell,1,0.8612,1.1682,0.7769,1.1702,2018-11-02 00:21:18
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Cell,1,0.97,0.7371,0.4086,0.718,2018-11-02 00:22:04
