response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,High school,Other,Male,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,Other Non-White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.2858,0.9971,1.3034,2018-10-16 00:14:23
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,4-year College Grad.,Hispanic,Adams,85 percent or higher,Cell,1,0.965,1.1899,0.9493,1.2062,2018-10-16 00:23:35
Rep,50 to 64,Grade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.9535,0.7196,0.9666,2018-10-16 00:33:45
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.9591,0.9124,0.7014,0.9253,2018-10-16 00:33:54
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.9363,0.7871,0.5394,0.7899,2018-10-16 00:33:58
Dem,50 to 64,High school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.9793,0.7184,0.9927,2018-10-16 00:34:48
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,65 and older,No 4-year College Degree,White,Aurora,50 to 85 percent,Cell,1,0.8252,1.0968,0.908,1.1327,2018-10-16 00:35:19
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Rest of Araphahoe,Less than 50 percent,Cell,1,0.332,0.9959,2.3114,1.1129,2018-10-16 00:35:42
Und,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Aurora,50 to 85 percent,Cell,0.8889,0.8184,0.8826,0.7836,0.8735,2018-10-16 00:36:27
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.5192,1.0093,1.4545,1.0601,2018-10-16 00:36:54
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.9793,0.7184,0.9927,2018-10-16 00:37:30
4,35 to 49,High school,Unknown,Male,White,Don't know,Don't know,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,Unknown,Aurora,Less than 50 percent,Landline,0.7778,0.3381,0.8548,2.2487,0.5674,2018-10-16 00:38:15
Dem,50 to 64,Bachelors' degree,Black,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Other Non-White,Aurora,50 to 85 percent,Cell,0.7778,0.5113,1.0613,1.2982,0.8763,2018-10-16 00:38:19
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,0.4444,0.965,1.0797,0.844,1.0656,2018-10-16 00:38:42
Dem,35 to 49,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.6568,0.7992,0.7329,0.8558,2018-10-16 00:38:51
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.7336,0.4739,0.7437,2018-10-16 00:39:31
Dem,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.965,0.8528,0.5468,0.8646,2018-10-16 00:39:49
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Unknown,Aurora,50 to 85 percent,Cell,1,0.8341,0.575,0.4435,0.5929,2018-10-16 00:40:03
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Rest of Araphahoe,50 to 85 percent,Cell,0.5556,0.5537,1.0344,1.1832,0.7664,2018-10-16 00:40:03
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.9264,0.5965,0.9391,2018-10-16 00:41:06
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Douglas,50 to 85 percent,Cell,0.7778,0.5693,1.6941,2.515,1.4162,2018-10-16 00:41:15
Und,35 to 49,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Male,Somewhat likely,Republican,Nonwhite,Nonwhite,35 to 49,4-year College Grad.,White,Aurora,50 to 85 percent,Cell,0.6667,0.6743,0.929,0.8237,0.7623,2018-10-16 00:41:42
Und,50 to 64,Bachelors' degree,Asian,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Other Non-White,Douglas,85 percent or higher,Landline,1,0.965,1.9068,1.5148,1.933,2018-10-16 00:41:42
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.2032,0.7824,1.2097,2018-10-16 00:42:00
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Hispanic,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,30 to 44,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,[DO NOT READ] Don't know/Refused,Hispanic,Adams,50 to 85 percent,Cell,0.4444,0.7853,1.1685,1.1074,1.1036,2018-10-16 00:42:18
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,1,0.965,0.8778,0.6596,0.8899,2018-10-16 00:42:18
Dem,50 to 64,Graduate or Professional Degree,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Other Non-White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.8655,0.6006,0.8774,2018-10-16 00:42:36
4,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Unknown,Douglas,Less than 50 percent,Cell,1,0.4296,0.9265,1.8801,1.0744,2018-10-16 00:43:03
Rep,50 to 64,Some college or trade school,White,Female,Other,Approve,Don't know,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.8617,0.9911,0.8517,1.0173,2018-10-16 00:43:16
Rep,35 to 49,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.965,0.9657,0.6413,0.979,2018-10-16 00:43:48
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.965,1.0004,0.7401,1.0141,2018-10-16 00:44:24
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Adams,85 percent or higher,Cell,1,0.9091,0.6889,0.5431,0.7023,2018-10-16 00:44:33
Und,18 to 34,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,18 to 34,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.0752,0.7565,1.09,2018-10-16 00:45:36
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Unknown,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.8068,0.5445,0.8112,2018-10-16 00:45:36
Dem,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,4-year College Grad.,Hispanic,Adams,85 percent or higher,Cell,1,0.8888,1.011,0.8315,1.0335,2018-10-16 00:47:02
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,Unknown,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.0024,0.8177,1.0162,2018-10-16 00:47:33
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Rest of Araphahoe,Less than 50 percent,Cell,1,0.1322,1.0271,5.698,1.3485,2018-10-16 00:47:42
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,[DO NOT READ] Don't know/Refused,White,Rest of Araphahoe,85 percent or higher,Cell,0.4444,0.8866,0.9829,0.7259,0.946,2018-10-16 00:47:42
Und,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Other Non-White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.5376,1.3774,2.0606,1.5291,2018-10-16 00:48:23
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.745,0.5496,0.749,2018-10-16 00:49:26
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.9514,0.5955,0.9645,2018-10-16 00:50:11
Dem,35 to 49,Graduate or Professional Degree,White,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.7875,0.5311,0.7983,2018-10-16 00:51:59
4,18 to 34,High school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,High School Grad. or Less,Other,Female,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Other Non-White,Aurora,Less than 50 percent,Cell,1,0.3692,1.1268,3.0834,1.3481,2018-10-16 00:56:11
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,1,0.965,1.0969,0.8186,1.112,2018-10-16 00:56:56
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9567,0.8461,0.5678,0.8583,2018-10-16 00:57:41
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,Black,Male,[DO NOT READ] Don't know/Refused,Approve,Dems. take House,Unfavorable,Don't know,30 to 44,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,18 to 34,[DO NOT READ] Don't know/Refused,Other Non-White,Rest of Araphahoe,Less than 50 percent,Cell,0.6667,0.4788,1.2653,2.2487,1.2855,2018-10-16 00:59:47
Und,50 to 64,High school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,50 to 85 percent,Cell,1,0.8421,0.8777,0.717,0.9038,2018-10-16 01:00:50
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9333,1.0738,0.8216,1.0916,2018-10-16 01:04:04
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Postgraduate Degree,White,Aurora,85 percent or higher,Cell,1,0.965,0.5909,0.3973,0.5991,2018-10-16 01:05:16
Rep,18 to 34,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Rest of Araphahoe,50 to 85 percent,Cell,0.6667,0.5523,1.0647,1.4309,0.8381,2018-10-16 01:06:19
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9364,0.7336,0.4884,0.7456,2018-10-16 01:06:28
Dem,18 to 34,High school,Unknown,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Unknown,Aurora,50 to 85 percent,Cell,0.6667,0.5065,0.84,1.3265,0.8493,2018-10-16 01:07:13
3,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,[DO NOT READ] Don't know/Refused,White,Adams,85 percent or higher,Cell,1,0.9336,0.8121,0.6204,0.8256,2018-10-16 01:07:40
Rep,18 to 34,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Republican,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,0.7778,0.9112,0.868,0.8115,0.8128,2018-10-16 01:08:07
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.6691,0.4285,0.6783,2018-10-16 01:09:10
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9615,0.8635,0.5896,0.8678,2018-10-16 01:09:37
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Adams,85 percent or higher,Cell,1,0.965,0.7558,0.6551,0.7662,2018-10-16 01:10:13
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Douglas,85 percent or higher,Landline,1,0.965,1.253,0.9621,1.2702,2018-10-16 01:10:40
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Unknown,Rest of Araphahoe,85 percent or higher,Cell,1,0.8655,0.9623,0.7139,0.9872,2018-10-16 01:13:49
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Dems. take House,Favorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.5791,0.9547,1.0829,0.9902,2018-10-16 01:14:25
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Hispanic,Rest of Araphahoe,50 to 85 percent,Cell,1,0.7924,1.4062,1.4228,1.4609,2018-10-16 01:14:52
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.869,0.5619,0.881,2018-10-16 01:15:28
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Douglas,85 percent or higher,Cell,1,0.965,1.6437,1.362,1.6663,2018-10-16 01:15:46
Dem,65 and older,Bachelors' degree,Asian,Female,Black,Disapp.,Dems. take House,Favorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,4-year College Grad.,Other Non-White,Aurora,85 percent or higher,Cell,1,0.965,1.2573,0.8599,1.2746,2018-10-16 01:16:13
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.6954,0.4528,0.705,2018-10-16 01:16:22
Und,35 to 49,Bachelors' degree,Unknown,Male,White,Don't know,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Unknown,Rest of Araphahoe,50 to 85 percent,Cell,0.2222,0.7283,1.0151,0.8422,0.5962,2018-10-16 01:16:58
Rep,18 to 34,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,Unknown,Aurora,85 percent or higher,Cell,1,0.8912,0.783,0.6664,0.8002,2018-10-16 01:17:43
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.797,0.5623,0.8079,2018-10-16 01:18:01
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Other Non-White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.9429,0.6665,0.9559,2018-10-16 01:23:04
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Postgraduate Degree,Unknown,Aurora,50 to 85 percent,Cell,0.7778,0.6541,0.62,0.6843,0.5988,2018-10-16 01:23:40
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,4-year College Grad.,Hispanic,Aurora,Less than 50 percent,Cell,1,0.2667,1.1177,3.6014,1.2935,2018-10-16 01:23:58
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Adams,85 percent or higher,Cell,1,0.965,0.9817,0.8592,0.9952,2018-10-16 01:24:34
Dem,35 to 49,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,4-year College Grad.,White,Adams,50 to 85 percent,Cell,1,0.5749,0.8215,0.9578,0.8527,2018-10-16 01:25:17
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.0491,0.8719,1.0635,2018-10-16 01:25:19
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9587,0.8307,0.5595,0.8425,2018-10-16 01:27:05
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.2032,0.7824,1.2198,2018-10-16 01:29:49
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.9529,0.6216,0.958,2018-10-16 01:30:32
