response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.9514,0.6164,0.2943,0.6234,2018-10-17 00:30:58
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Vancouver,85 percent or higher,Cell,1,0.9324,1.0456,0.911,1.0689,2018-10-17 00:34:24
Und,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Don't know,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,White,Rest of Clark,85 percent or higher,Cell,1,0.8972,1.2297,0.8302,1.2514,2018-10-17 00:38:27
Rep,35 to 49,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,50 to 85 percent,Cell,1,0.6289,1.4403,1.5181,1.4757,2018-10-17 00:38:54
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,Unknown,Rest,50 to 85 percent,Cell,1,0.7327,1.743,1.0636,1.8267,2018-10-17 00:47:58
Rep,50 to 64,Bachelors' degree,Asian,Male,Asian,Disapp.,Don't know,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,40 to 64,Non-White,Rest,85 percent or higher,Cell,1,0.965,1.3603,0.7471,1.363,2018-10-17 00:50:49
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Vancouver,50 to 85 percent,Cell,1,0.8019,1.2345,1.0045,1.2758,2018-10-17 00:57:16
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.9485,0.6629,0.3021,0.6706,2018-10-17 01:00:52
Dem,[DO NOT READ] Refused,Some college or trade school,Unknown,Female,White,Approve,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,Unknown,Rest,50 to 85 percent,Landline,1,0.5702,1.5946,1.4149,1.7451,2018-10-17 01:08:22
Und,18 to 34,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,Vancouver,85 percent or higher,Landline,1,0.965,1.2628,0.9042,1.2757,2018-10-17 01:08:40
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest,50 to 85 percent,Landline,1,0.5536,0.858,0.7817,0.9441,2018-10-17 01:12:27
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Vancouver,50 to 85 percent,Cell,0.8889,0.8242,1.0595,0.7105,1.0451,2018-10-17 01:12:54
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Clark,50 to 85 percent,Landline,1,0.7037,1.0276,1.0816,1.0418,2018-10-17 01:13:01
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Vancouver,85 percent or higher,Cell,1,0.965,0.7508,0.4956,0.7585,2018-10-17 01:21:45
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Clark,Less than 50 percent,Landline,1,0.2859,0.765,1.7505,0.9641,2018-10-17 01:23:24
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.9613,0.7267,0.3119,0.7344,2018-10-17 01:27:00
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,White,Rest,85 percent or higher,Landline,1,0.938,1.3044,0.7694,1.3209,2018-10-17 01:29:06
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,50 to 85 percent,Landline,0.8889,0.7179,1.2897,0.9452,1.331,2018-10-17 01:31:21
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.7881,0.4656,0.7962,2018-10-17 01:40:42
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,[DO NOT READ] Don't know/Refused,65 and older,White,Vancouver,85 percent or higher,Cell,1,0.943,0.7355,0.4627,0.7064,2018-10-17 01:42:03
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,White,Vancouver,Less than 50 percent,Cell,1,0.4112,0.8771,1.5266,0.9465,2018-10-17 01:50:11
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,White,Rest,85 percent or higher,Landline,1,0.9395,1.3315,0.842,1.3482,2018-10-17 02:05:30
Dem,18 to 34,Bachelors' degree,Asian,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,Non-White,Rest of Clark,85 percent or higher,Cell,1,0.9064,1.8295,1.4007,1.8596,2018-10-17 02:05:48
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.6538,0.2813,0.6606,2018-10-17 02:06:06
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Don't know,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.9165,0.7881,0.4899,0.7879,2018-10-17 02:18:21
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Vancouver,85 percent or higher,Cell,1,0.9244,0.8344,0.4332,0.8462,2018-10-17 02:30:12
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest,50 to 85 percent,Cell,1,0.8289,0.8916,0.4557,0.917,2018-10-17 02:34:37
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,0.4444,0.5567,0.7129,0.662,0.6578,2018-10-17 02:38:22
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Don't know,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,40 to 64,Non-White,Rest of Clark,Less than 50 percent,Landline,1,0.3054,1.0496,1.8564,1.1842,2018-10-17 02:41:22
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.9121,0.743,0.5171,0.7427,2018-10-17 02:45:25
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.7978,0.3482,0.7994,2018-10-17 02:52:42
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,Less than 50 percent,Cell,0.4444,0.3029,1.4868,4.2906,0.9193,2018-10-17 02:55:24
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.9463,0.5806,0.956,2018-10-17 02:59:27
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,Less than 50 percent,Cell,1,0.2257,1.0676,3.2231,1.4198,2018-10-17 03:00:54
Rep,35 to 49,Some college or trade school,White,Male,Black,Approve,Don't know,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Republican,Male,Very likely,or as a member of another political party,Nonwhite,40 to 64,White,Rest,85 percent or higher,Cell,1,0.965,0.8177,0.3844,0.8193,2018-10-17 03:04:03
Und,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Don't know,Don't know,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,[DO NOT READ] Don't know/Refused,65 and older,White,Vancouver,85 percent or higher,Landline,1,0.965,0.6446,0.346,0.6459,2018-10-17 03:09:34
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.937,0.8194,0.5359,0.8195,2018-10-17 03:11:04
Dem,[DO NOT READ] Refused,High school,Unknown,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,65 and older,Unknown,Rest of Clark,85 percent or higher,Landline,1,0.9519,1.6287,1.4292,1.647,2018-10-17 03:13:10
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,40 to 64,White,Rest of Clark,Less than 50 percent,Cell,1,0.4728,0.8387,1.1113,0.8882,2018-10-17 03:13:10
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,Less than 50 percent,Landline,1,0.1188,0.7392,2.8719,1.1463,2018-10-17 03:15:09
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,40 to 64,Non-White,Vancouver,50 to 85 percent,Cell,0.8889,0.7773,1.4066,1.0425,1.4382,2018-10-17 03:18:12
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.965,0.7755,0.4105,0.7835,2018-10-17 03:21:12
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Vancouver,85 percent or higher,Landline,1,0.965,0.6933,0.354,0.7004,2018-10-17 03:23:27
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Landline,1,0.9476,0.8177,0.3914,0.8273,2018-10-17 03:24:57
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Landline,1,0.965,0.7709,0.3011,0.7788,2018-10-17 03:25:42
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9621,0.746,0.3685,0.7538,2018-10-17 03:27:39
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.6795,0.3279,0.6808,2018-10-17 03:28:06
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest of Clark,50 to 85 percent,Landline,1,0.8419,0.6721,0.3385,0.6897,2018-10-17 03:28:33
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Don't know,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,Less than 50 percent,Cell,0.7778,0.0723,0.9207,3.9165,1.1147,2018-10-17 03:31:51
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Vancouver,85 percent or higher,Cell,1,0.965,0.992,0.6525,1.0022,2018-10-17 04:00:25
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.746,0.3674,0.7536,2018-10-17 04:01:19
Rep,35 to 49,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,Vancouver,50 to 85 percent,Cell,1,0.6456,1.42,1.8587,1.52,2018-10-17 04:03:25
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest,Less than 50 percent,Landline,0.7778,0.3132,1.239,2.8925,0.9907,2018-10-17 04:03:34
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,Less than 50 percent,Landline,1,0.3966,1.0676,1.8369,1.158,2018-10-17 04:08:04
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Rest,85 percent or higher,Landline,1,0.965,1.2634,0.7825,1.2764,2018-10-17 04:09:25
Rep,65 and older,Some college or trade school,Unknown,Male,White,Don't know,Don't know,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown,Rest of Clark,85 percent or higher,Cell,1,0.965,1.1456,0.7223,1.1478,2018-10-17 04:14:58
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Vancouver,50 to 85 percent,Cell,1,0.6902,0.8019,0.6428,0.8487,2018-10-17 04:15:43
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.8691,0.5042,0.8708,2018-10-17 04:16:28
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,White,Vancouver,85 percent or higher,Cell,1,0.965,0.9718,0.5954,0.9736,2018-10-17 04:19:22
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Landline,1,0.965,1.0826,0.6854,1.0937,2018-10-17 04:22:49
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.9639,0.5811,0.3051,0.5871,2018-10-17 23:17:59
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Vancouver,50 to 85 percent,Cell,1,0.7422,0.9287,0.8092,0.9714,2018-10-17 23:29:24
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Landline,1,0.8591,1.1625,0.8385,1.1635,2018-10-17 23:38:06
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,50 to 85 percent,Cell,1,0.5695,1.2411,1.371,1.3585,2018-10-17 23:42:09
Dem,18 to 34,Some college or trade school,White,Male,Hispanic,Disapp.,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Not very likely,Democrat,Nonwhite,18 to 39,White,Vancouver,Less than 50 percent,Cell,0.2222,0.183,1.1165,4.7513,0.4084,2018-10-17 23:48:59
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Clark,50 to 85 percent,Landline,1,0.756,0.9608,0.6922,0.9685,2018-10-17 23:49:26
Dem,50 to 64,Bachelors' degree,White,Male,White,Approve,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Vancouver,85 percent or higher,Cell,1,0.965,1.0313,0.7298,1.0419,2018-10-17 23:50:29
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9517,0.966,0.6451,0.9769,2018-10-17 23:53:29
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Landline,1,0.927,0.8978,0.4483,0.9102,2018-10-17 23:55:26
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest of Clark,50 to 85 percent,Cell,1,0.8072,0.7625,0.4346,0.7873,2018-10-17 23:56:20
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Landline,0.2222,0.9349,0.7869,0.4563,0.6273,2018-10-17 23:57:23
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9492,0.746,0.3734,0.7546,2018-10-17 23:58:08
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Landline,1,0.9209,0.864,0.5193,0.8765,2018-10-18 00:00:32
Dem,65 and older,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.9131,0.848,0.6478,0.8612,2018-10-18 00:05:09
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,White,Vancouver,50 to 85 percent,Cell,1,0.6735,0.8755,0.6959,0.9304,2018-10-18 00:12:39
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,Rest,Less than 50 percent,Cell,1,0.4285,0.9244,1.0299,1.0689,2018-10-18 00:22:39
Und,65 and older,High school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,1.0605,0.7138,1.0714,2018-10-18 00:24:18
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Unknown,Rest of Clark,85 percent or higher,Landline,1,0.9412,1.7277,1.2257,1.7489,2018-10-18 00:31:03
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,White,Rest,50 to 85 percent,Landline,1,0.6601,0.7815,0.4358,0.8599,2018-10-18 00:31:21
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Landline,1,0.965,0.7709,0.3011,0.7723,2018-10-18 00:32:42
Rep,65 and older,High school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.966,0.6363,0.9759,2018-10-18 00:50:01
Rep,18 to 34,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Already voted,Republican,Nonwhite,18 to 39,White,Rest of Clark,Less than 50 percent,Cell,1,0.4733,1.218,1.5005,1.4497,2018-10-18 00:50:01
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Landline,0.7778,0.965,0.7881,0.4656,0.7894,2018-10-18 00:51:04
Rep,65 and older,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,65 and older,White,Rest,85 percent or higher,Cell,1,0.965,0.6795,0.3279,0.6864,2018-10-18 00:53:55
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Republican,Male,[DO NOT READ] Don't know/Refused,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,Less than 50 percent,Landline,0.6667,0.4704,1.1094,1.3447,0.7819,2018-10-18 00:59:10
Rep,65 and older,High school,White,Female,White,Approve,Don't know,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9571,1.0389,0.6566,1.0502,2018-10-18 01:00:49
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.6538,0.2813,0.6606,2018-10-18 01:10:41
Rep,65 and older,Graduate or Professional Degree,White,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.6405,0.257,0.6471,2018-10-18 01:13:05
