response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedc,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Not very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,Less than 50 percent,Cell,0.4444,0.118,1.555,6.8375,0.6704,2018-11-02 02:50:43
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,Less than 50 percent,Cell,1,0.422,1.1487,1.7403,1.3453,2018-11-02 02:52:04
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.97,0.877,0.4313,0.8512,2018-11-02 02:58:04
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Cell,1,0.936,0.8884,0.5597,0.8678,2018-11-02 03:05:00
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Pierce,50 to 85 percent,Cell,0.8889,0.6059,0.6041,0.6039,0.6097,2018-11-02 03:07:42
Und,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,South King County,85 percent or higher,Landline,1,0.97,1.0695,0.6957,1.0328,2018-11-02 03:14:09
Dem,50 to 64,Some college or trade school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Independent (No party),Nonwhite,Nonwhite,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.97,0.823,0.5457,0.7987,2018-11-02 03:18:30
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,18 to 39,White,Pierce,85 percent or higher,Landline,1,0.9334,0.6866,0.4286,0.671,2018-11-02 03:21:33
Rep,35 to 49,Graduate or Professional Degree,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,Nonwhite,40 to 64,White,South King County,50 to 85 percent,Cell,1,0.7455,0.97,0.6372,0.9358,2018-11-02 03:22:45
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.97,0.6789,0.4812,0.6589,2018-11-02 03:28:54
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,50 to 85 percent,Landline,1,0.8038,0.7958,0.615,0.8018,2018-11-02 03:30:06
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,North King County,50 to 85 percent,Cell,1,0.7828,1.1412,0.8261,1.1563,2018-11-02 03:30:15
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,South King County,Less than 50 percent,Cell,0.8889,0.3738,1.2534,2.067,1.3675,2018-11-02 03:36:17
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,Less than 50 percent,Cell,1,0.4684,1.141,1.4917,1.3018,2018-11-02 03:39:17
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,North King County,85 percent or higher,Cell,1,0.97,0.8272,0.4289,0.7988,2018-11-02 03:42:08
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South King County,50 to 85 percent,Cell,1,0.841,1.3264,0.9904,1.3237,2018-11-02 03:43:20
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,18 to 39,Non-White,Pierce,Less than 50 percent,Cell,1,0.3129,0.7769,1.5418,0.9176,2018-11-02 03:49:01
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Cell,1,0.97,0.5563,0.2556,0.5399,2018-11-02 03:54:52
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,Less than 50 percent,Cell,1,0.4276,0.7449,1.4612,0.8694,2018-11-02 03:58:37
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,or as a member of another political party,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,85 percent or higher,Cell,1,0.9639,0.5153,0.2596,0.5007,2018-11-02 03:58:55
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,Unknown,South King County,50 to 85 percent,Cell,1,0.5493,1.1346,1.2271,1.2456,2018-11-02 03:59:49
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,White,Eastern Wash.,50 to 85 percent,Cell,1,0.658,0.8283,0.4268,0.872,2018-11-02 04:07:11
Dem,65 and older,High school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown,Pierce,85 percent or higher,Cell,1,0.9664,1.6331,1.4311,1.586,2018-11-02 04:14:21
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.97,0.4871,0.3099,0.4704,2018-11-02 04:16:09
Rep,65 and older,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,50 to 85 percent,Cell,0.4444,0.5305,1.1812,1.3629,0.5354,2018-11-02 04:21:11
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 39,White,North King County,85 percent or higher,Landline,1,0.958,1.1453,0.5889,1.1139,2018-11-02 05:08:38
Und,65 and older,Grade school,White,Male,White,Don't know,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.97,1.4284,1.2623,1.3863,2018-11-02 05:11:20
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),Nonwhite,Nonwhite,18 to 39,White,South King County,85 percent or higher,Cell,1,0.9301,0.7518,0.4612,0.7352,2018-11-02 05:14:20
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Dems. take House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,Pierce,50 to 85 percent,Cell,1,0.6093,0.7733,0.7417,0.8285,2018-11-02 05:17:59
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,50 to 85 percent,Cell,1,0.8443,0.9464,0.7437,0.9437,2018-11-02 05:19:20
Und,65 and older,Some college or trade school,White,Male,Other,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,65 and older,White,Eastern Wash.,85 percent or higher,Cell,1,0.97,0.5999,0.2653,0.5823,2018-11-02 05:21:44
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,Eastern Wash.,50 to 85 percent,Cell,1,0.5163,0.5446,0.4232,0.6068,2018-11-02 05:23:23
Rep,50 to 64,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,South King County,85 percent or higher,Cell,1,0.97,1.0593,0.5714,1.0229,2018-11-02 05:26:23
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Landline,1,0.97,0.6827,0.4088,0.6626,2018-11-02 05:28:20
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,Less than 50 percent,Cell,1,0.4777,0.6097,0.7194,0.6597,2018-11-02 05:29:51
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.97,1.2606,0.6089,1.2235,2018-11-02 05:30:08
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,North King County,50 to 85 percent,Cell,1,0.5207,1.4497,1.3394,1.6119,2018-11-02 05:31:29
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.9542,0.8151,0.4559,0.7934,2018-11-02 05:34:30
Rep,65 and older,Some college or trade school,White,Male,Asian,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9304,0.6795,0.478,0.6645,2018-11-02 05:39:00
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,40 to 64,White,North King County,Less than 50 percent,Cell,0.8889,0.4853,0.8914,1.1642,0.8644,2018-11-02 05:46:40
Rep,[DO NOT READ] Refused,High school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,Unknown,North King County,85 percent or higher,Cell,1,0.97,2.3398,1.9633,2.2709,2018-11-02 05:48:46
Und,18 to 34,Bachelors' degree,Asian,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 39,Non-White,North King County,50 to 85 percent,Cell,1,0.7035,1.3324,0.9619,1.344,2018-11-02 05:48:55
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South King County,85 percent or higher,Cell,1,0.97,1.0174,0.5185,0.98740000000000006,2018-11-02 05:50:16
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,South King County,85 percent or higher,Cell,1,0.883,0.8562,0.5482,0.8186,2018-11-02 05:50:25
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.97,1.1424,0.5936,1.1088,2018-11-02 05:51:46
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Pierce,50 to 85 percent,Cell,0.8889,0.5944,1.4091,2.106,1.345,2018-11-02 05:56:16
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.9665,0.6235,0.3826,0.6055,2018-11-02 05:56:25
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.9515,0.8823,0.6249,0.8592,2018-11-02 05:58:31
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Cell,0.7778,0.8535,1.0695,0.789,1.0226,2018-11-02 05:58:58
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,North King County,85 percent or higher,Cell,1,0.8891,0.876,0.5378,0.8643,2018-11-02 05:59:52
Rep,65 and older,High school,White,Male,Black,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Male,Already voted,Democrat,Nonwhite,Nonwhite,65 and older,White,Pierce,85 percent or higher,Cell,1,0.9635,1.3244,1.2227,1.2869,2018-11-02 06:00:18
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,Unknown,Pierce,Less than 50 percent,Cell,1,0.4055,0.7505,1.3049,0.8878,2018-11-02 06:01:57
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.97,0.8159,0.4279,0.782,2018-11-02 06:03:09
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Don't know,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 39,White,South King County,Less than 50 percent,Cell,1,0.3586,0.9484,2.2087,1.0878,2018-11-02 06:03:45
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 39,White,Pierce,85 percent or higher,Cell,1,0.9626,0.4772,0.3099,0.4638,2018-11-02 06:04:30
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 39,White,North King County,85 percent or higher,Cell,1,0.9522,0.8777,0.5368,0.8546,2018-11-02 06:05:33
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.9686,0.9661,0.5525,0.933,2018-11-02 06:05:51
Und,18 to 34,Some college or trade school,Other,Male,White,Approve,Don't know,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,Non-White,South King County,Less than 50 percent,Cell,0.5556,0.255,1.1631,3.5705,0.7434,2018-11-02 06:07:57
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Cell,1,0.97,0.9524,0.6073,0.9244,2018-11-02 06:08:33
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Cell,1,0.919,1.4173,0.8303,1.3893,2018-11-02 06:08:42
Dem,18 to 34,Some college or trade school,Other,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 39,Non-White,South King County,85 percent or higher,Cell,1,0.8922,1.2851,0.8618,1.2512,2018-11-02 06:09:27
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,South King County,85 percent or higher,Landline,1,0.9585,1.0479,0.6985,1.0191,2018-11-02 06:19:58
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.9656,0.6368,0.3658,0.6185,2018-11-02 06:23:52
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,50 to 85 percent,Landline,0.4444,0.7128,1.1325,0.7941,0.8172,2018-11-02 06:24:46
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.97,0.9433,0.4991,0.9156,2018-11-02 06:25:40
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 39,White,South King County,50 to 85 percent,Landline,1,0.812,0.9504,0.5817,0.9555,2018-11-02 06:28:13
Dem,18 to 34,Bachelors' degree,Other,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 39,Non-White,Eastern Wash.,Less than 50 percent,Landline,1,0.2765,0.8156,1.2626,0.9901,2018-11-02 06:29:16
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.97,0.7533,0.4192,0.7311,2018-11-03 01:16:40
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.9379,0.797,0.5028,0.7782,2018-11-03 01:18:19
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,Pierce,50 to 85 percent,Cell,1,0.7595,1.0536,0.7401,1.0497,2018-11-03 01:45:06
Dem,18 to 34,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,Nonwhite,18 to 39,White,South King County,85 percent or higher,Cell,1,0.9633,0.8644,0.6127,0.84,2018-11-03 01:54:53
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Don't know,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.9556,0.7631,0.533,0.7425,2018-11-03 01:55:02
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.9078,0.7631,0.5605,0.7498,2018-11-03 01:55:02
Rep,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.9565,1.04,0.5443,1.0118,2018-11-03 01:59:41
Dem,18 to 34,High school,Hispanic,Male,Hispanic,Disapp.,Reps. keep House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,18 to 39,Non-White,South King County,50 to 85 percent,Landline,1,0.7459,2.4219,2.5719,2.4796,2018-11-03 02:02:37
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.97,0.9857,0.4707,0.9567,2018-11-03 02:07:16
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,South King County,50 to 85 percent,Landline,1,0.8201,0.8812,0.5545,0.8679,2018-11-03 02:08:37
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,South King County,Less than 50 percent,Landline,1,0.4344,1.1497,2.0745,1.3366,2018-11-03 02:09:22
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,40 to 64,Non-White,South King County,85 percent or higher,Cell,1,0.955,0.9029,0.4947,0.8787,2018-11-03 02:13:07
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.97,0.9634,0.4766,0.935,2018-11-03 02:16:41
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Don't know,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Republican,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,85 percent or higher,Landline,0.3333,0.8587,0.5153,0.2899,0.3214,2018-11-03 02:17:35
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9444,0.7259,0.4025,0.7079,2018-11-03 02:21:05
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,18 to 39,Unknown,South King County,85 percent or higher,Landline,1,0.9636,0.6309,0.4061,0.613,2018-11-03 02:23:47
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,85 percent or higher,Cell,1,0.9697,0.6246,0.2919,0.6063,2018-11-03 02:25:35
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.9174,0.6368,0.3844,0.6244,2018-11-03 02:27:29
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Republican,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South King County,50 to 85 percent,Landline,1,0.7208,2.0156,2.3295,1.4961,2018-11-03 02:28:35
