response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedc,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Mr. Ojeda's District,40 to 64,White,Less than 50 percent,Landline,0.8889,0.4392,0.5311,0.4438,0.5381,2018-10-16 22:53:44
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,65 and older,White,50 to 85 percent,Landline,1,0.8088,0.7627,0.2804,0.7576,2018-10-16 22:56:08
Rep,35 to 49,Bachelors' degree,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Coal Country,40 to 64,White,50 to 85 percent,Landline,1,0.8113,0.983,0.5046,1.0037,2018-10-16 22:57:29
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.947,1.3148,0.5428,1.3165,2018-10-16 22:57:38
Rep,35 to 49,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,Less than 50 percent,Landline,0.7778,0.4036,1.6653,3.9717,1.3309,2018-10-16 23:00:47
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.9468,0.7515,0.36870000000000003,0.7441,2018-10-16 23:00:47
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,65 and older,Unknown/Non-White,85 percent or higher,Cell,1,0.965,0.7401,0.3706,0.74,2018-10-16 23:02:44
Dem,65 and older,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Mr. Ojeda's District,65 and older,White,50 to 85 percent,Cell,1,0.8494,0.9111,0.3126,0.9242,2018-10-16 23:04:05
Und,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,Unknown/Non-White,85 percent or higher,Landline,1,0.9475,0.9098,0.4343,0.9109,2018-10-16 23:04:59
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.965,0.8143,0.3422,0.8142,2018-10-16 23:06:56
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Huntington/West,40 to 64,White,85 percent or higher,Landline,1,0.965,0.5035,0.1813,0.5035,2018-10-16 23:10:32
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.965,0.7184,0.3237,0.7183,2018-10-16 23:11:26
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Greenbrier/East,18 to 39,White,Less than 50 percent,Cell,1,0.2683,1.1899,3.5678,1.5052,2018-10-16 23:11:44
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,18 to 39,White,85 percent or higher,Cell,1,0.9515,1.3,0.9349,1.3011,2018-10-16 23:11:44
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,85 percent or higher,Landline,1,0.965,1.2168,0.7896,1.2166,2018-10-16 23:11:53
Dem,35 to 49,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Coal Country,18 to 39,White,85 percent or higher,Cell,1,0.965,0.7548,0.3889,0.7547,2018-10-16 23:12:43
Und,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9009,0.5516,0.2188,0.5619,2018-10-16 23:13:05
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.9563,0.8956,0.4161,0.8874,2018-10-16 23:14:17
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.965,0.6516,0.2393,0.6515,2018-10-16 23:16:14
Rep,50 to 64,High school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,Unknown/Non-White,85 percent or higher,Cell,1,0.9485,1.9046,2.0841,1.9068,2018-10-16 23:20:33
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,50 to 85 percent,Cell,1,0.612,1.0188,0.5436,0.9275,2018-10-16 23:20:42
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.965,0.4883,0.1454,0.4882,2018-10-16 23:29:24
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Mr. Ojeda's District,40 to 64,White,85 percent or higher,Cell,1,0.9542,0.6618,0.2262,0.6622,2018-10-16 23:35:14
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,18 to 39,Unknown/Non-White,Less than 50 percent,Landline,1,0.4718,1.1573,2.5726,1.2992,2018-10-16 23:35:41
Rep,65 and older,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Huntington/West,65 and older,Unknown/Non-White,85 percent or higher,Landline,0.7778,0.9613,0.7401,0.372,0.7333,2018-10-16 23:36:35
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.8751,0.5708,0.2099,0.5767,2018-10-16 23:37:29
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Greenbrier/East,40 to 64,White,85 percent or higher,Cell,1,0.896,0.8381,0.4864,0.8442,2018-10-16 23:37:38
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.9605,1.0111,0.4089,1.0113,2018-10-16 23:39:08
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,18 to 39,White,Less than 50 percent,Landline,1,0.3189,2.2028,6.4215,2.6821,2018-10-16 23:41:41
Dem,65 and older,High school,Asian,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,Unknown/Non-White,85 percent or higher,Cell,1,0.9008,1.3675,0.8788,1.3529,2018-10-16 23:44:32
Und,65 and older,Grade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.897,1.4271,0.8361,1.4374,2018-10-16 23:47:05
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.8832,0.7166,0.3134,0.7232,2018-10-16 23:48:08
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.965,0.787,0.3672,0.7868,2018-10-16 23:48:11
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Greenbrier/East,40 to 64,White,Less than 50 percent,Cell,1,0.1388,0.6946,2.5826,1.0263,2018-10-16 23:48:11
Und,35 to 49,Grade school,White,Male,Hispanic,Disapp.,Don't know,Don't know,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Male,Somewhat likely,or as a member of another political party,Nonwhite,Nonwhite,Coal Country,18 to 39,White,50 to 85 percent,Cell,0.6667,0.8166,2.3672,2.199,2.0338,2018-10-16 23:48:47
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.965,0.6745,0.2633,0.6689,2018-10-16 23:48:47
Dem,18 to 34,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Coal Country,18 to 39,White,Less than 50 percent,Landline,1,0.2189,1.4848,6.0541,1.9681,2018-10-16 23:50:08
Dem,65 and older,High school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,50 to 85 percent,Landline,1,0.7815,1.6177,0.9683,1.6611,2018-10-16 23:51:02
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Greenbrier/East,40 to 64,White,50 to 85 percent,Cell,1,0.6158,0.6303,0.3344,0.6733,2018-10-16 23:53:17
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,Less than 50 percent,Cell,1,0.3033,0.8772,1.6288,0.9806,2018-10-16 23:53:26
Dem,50 to 64,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Greenbrier/East,40 to 64,White,85 percent or higher,Landline,1,0.965,0.8036,0.4413,0.8035,2018-10-16 23:54:02
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,Less than 50 percent,Cell,1,0.3102,1.29,3.2134,1.6942,2018-10-16 23:54:47
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,40 to 64,White,Less than 50 percent,Landline,0.8889,0.2442,0.8836,1.7086,0.9605,2018-10-16 23:55:05
Dem,18 to 34,High school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,18 to 39,White,50 to 85 percent,Landline,1,0.7728,2.2403,1.7979,2.2315,2018-10-16 23:55:23
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.965,0.5812,0.1698,0.5763,2018-10-16 23:56:08
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,50 to 85 percent,Landline,0.6667,0.8044,1.085,0.5133,0.9268,2018-10-16 23:57:02
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,85 percent or higher,Landline,1,0.9367,1.4573,0.9654,1.4606,2018-10-16 23:58:23
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Mr. Ojeda's District,40 to 64,White,85 percent or higher,Landline,1,0.9431,0.7736,0.3032,0.7749,2018-10-16 23:58:32
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.965,1.4271,0.7779,1.4151,2018-10-17 00:00:29
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,18 to 39,White,50 to 85 percent,Landline,1,0.7318,1.3951,1.1809,1.3953,2018-10-17 00:00:38
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,40 to 64,Unknown/Non-White,85 percent or higher,Cell,1,0.9111,1.0495,0.7546,1.0551,2018-10-17 00:02:08
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,85 percent or higher,Landline,1,0.965,0.643,0.3076,0.6429,2018-10-17 00:03:08
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.965,0.6247,0.2335,0.6246,2018-10-17 00:05:23
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.965,0.7419,0.3168,0.7418,2018-10-17 00:06:53
Rep,65 and older,Grade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.934,1.0684,0.5405,1.0574,2018-10-17 00:07:38
Und,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,50 to 85 percent,Landline,0.4444,0.6494,1.8423,1.7613,0.9695,2018-10-17 00:08:50
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,Coal Country,40 to 64,White,Less than 50 percent,Landline,0.7778,0.0982,0.6708,2.0628,0.5542,2018-10-17 00:11:14
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,50 to 85 percent,Cell,1,0.7241,1.6707,1.0216,1.6723,2018-10-17 00:13:02
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,50 to 85 percent,Landline,1,0.8021,0.6633,0.2731,0.6784,2018-10-17 00:16:20
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Coal Country,40 to 64,White,85 percent or higher,Landline,1,0.965,0.5267,0.2022,0.5266,2018-10-17 00:16:38
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.965,0.7571,0.3369,0.7569,2018-10-17 00:16:56
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.8695,1.4739,0.8435,1.4903,2018-10-17 00:17:32
Und,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9392,1.1425,0.6565,1.1449,2018-10-17 00:22:25
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,50 to 85 percent,Landline,1,0.7218,0.8916,0.4161,0.8927,2018-10-17 00:24:13
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,High School Grad. or Less,Republican,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,18 to 39,White,50 to 85 percent,Landline,0.4444,0.6906,2.6142,3.1133,1.4368,2018-10-17 00:24:22
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.965,0.6078,0.2346,0.6027,2018-10-17 00:25:16
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Mr. Ojeda's District,40 to 64,White,85 percent or higher,Landline,1,0.963,0.6144,0.2234,0.6144,2018-10-17 00:25:25
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,85 percent or higher,Landline,1,0.9205,0.6706,0.3301,0.6734,2018-10-17 00:27:49
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.958,0.6477,0.2556,0.6479,2018-10-17 00:32:37
Dem,50 to 64,Some college or trade school,Black,Female,White,Approve,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,40 to 64,Unknown/Non-White,85 percent or higher,Cell,1,0.965,0.9817,0.6607,0.9815,2018-10-17 00:39:57
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,85 percent or higher,Cell,1,0.965,0.8096,0.4105,0.8094,2018-10-17 00:43:53
Dem,35 to 49,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,18 to 39,White,50 to 85 percent,Landline,0.8889,0.7036,1.3047,1.0036,1.157,2018-10-17 00:44:20
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Cell,1,0.8576,1.0546,0.4683,1.0683,2018-10-17 00:48:21
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,Less than 50 percent,Cell,1,0.2721,0.7867,1.6375,0.895,2018-10-17 00:51:52
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,50 to 85 percent,Cell,1,0.7196,0.7898,0.3904,0.7909,2018-10-17 00:56:36
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.897,0.7166,0.3088,0.709,2018-10-17 00:56:54
Dem,18 to 34,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Democratic,Male,Not at all likely,or as a member of another political party,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Mr. Ojeda's District,18 to 39,White,50 to 85 percent,Cell,0,0.6105,1.3332,1.0132,0.4664,2018-10-17 00:57:57
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.9637,0.7818,0.3302,0.7818,2018-10-17 00:59:36
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Landline,1,0.965,0.7818,0.3298,0.7817,2018-10-17 01:00:25
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.9136,0.7571,0.3552,0.7608,2018-10-17 01:02:06
Rep,[DO NOT READ] Refused,Grade school,White,Male,White,Disapp.,Don't know,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,65 and older,White,Less than 50 percent,Landline,0,0.048,1.2634,5.4927,0.2588,2018-10-17 01:03:27
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,40 to 64,White,85 percent or higher,Landline,1,0.965,0.6492,0.2853,0.6491,2018-10-17 01:05:51
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.965,1.0244,0.5105,1.0243,2018-10-17 01:11:06
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.8752,0.8377,0.4206,0.8463,2018-10-17 01:11:13
Dem,50 to 64,Grade school,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,Less than 50 percent,Landline,1,0.1844,1.29,5.3973,1.7803,2018-10-17 01:12:36
