response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,SCAPP,SCKAV,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedc,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,50 to 85 percent,Landline,1,0.6247,0.889,0.8285,0.9941,2018-10-16 22:39:31
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,0.7778,0.9587,0.5727,0.3908,0.5753,2018-10-16 22:41:10
Und,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,Disapp.,disagree,45 to 64,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Landline,1,0.8906,1.3266,1.3133,1.3313,2018-10-16 22:42:13
Rep,50 to 64,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,agree,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,50 to 85 percent,Cell,1,0.6684,1.056,0.9691,0.9795,2018-10-16 22:45:22
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,18 to 29,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 39,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.9329,1.6838,1.2076,1.7122,2018-10-16 22:48:02
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,Disapp.,agree,45 to 64,4-year College Grad.,Other,Female,Not at all likely,Republican,"White, 4-Year College Grads",White,40 to 64,White,South/Central,Less than 50 percent,Landline,0,0.3333,0.9116,1.8176,0.2339,2018-10-16 22:48:20
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,1.0448,0.6592,1.0594,2018-10-16 22:49:14
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,Approve,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.6138,0.3727,0.6224,2018-10-16 22:52:50
Dem,35 to 49,Bachelors' degree,White,Male,White,Approve,Dems. take House,Favorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North,50 to 85 percent,Landline,1,0.6504,0.9663,0.8512,1.0368,2018-10-16 22:53:26
Dem,65 and older,Grade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,1.1237,0.9512,1.1394,2018-10-16 22:53:35
Dem,50 to 64,High school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.9516,1.6464,1.5078,1.6538,2018-10-16 22:55:23
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 39,White,South/Central,Less than 50 percent,Landline,1,0.4401,1.7163,2.7281,1.9811,2018-10-16 22:56:26
Und,50 to 64,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Favorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,40 to 64,White,Auburn/Lewiston,50 to 85 percent,Cell,1,0.8247,1.0511,0.7981,1.0576,2018-10-16 22:56:35
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,North,85 percent or higher,Landline,1,0.8855,0.6996,0.541,0.7157,2018-10-16 23:00:02
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Don't know,Favorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.965,0.7233,0.526,0.7273,2018-10-16 23:00:56
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,0.1111,0.8759,1.4566,1.4608,1.3142,2018-10-16 23:01:32
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Favorable,Approve,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,0.7494,0.4745,0.7599,2018-10-16 23:02:49
Und,35 to 49,Bachelors' degree,Unknown,Female,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Female,Not very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",White,18 to 39,Unknown/Non-White,South/Central,50 to 85 percent,Landline,0,0.8414,1.9807,1.2005,1.1947,2018-10-16 23:02:49
Dem,35 to 49,Bachelors' degree,White,Female,White,Approve,Don't know,Favorable,Unfavorable,Approve,agree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Landline,0.6667,0.9339,0.851,0.541,0.8307,2018-10-16 23:02:58
Und,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,Approve,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North,Less than 50 percent,Landline,1,0.4544,1.7447,3.8864,1.8642,2018-10-16 23:03:07
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.9611,1.6464,1.493,1.6699,2018-10-16 23:03:25
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,1.4442,1.2711,1.4644,2018-10-16 23:05:49
Dem,35 to 49,Some college or trade school,Hispanic,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,Unknown/Non-White,South/Central,85 percent or higher,Landline,1,0.965,1.2879,0.8431,1.306,2018-10-16 23:06:07
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,0.6741,0.4047,0.6835,2018-10-16 23:06:16
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Landline,1,0.9205,0.5495,0.3386,0.5596,2018-10-16 23:08:04
Dem,35 to 49,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,Unknown/Non-White,South/Central,85 percent or higher,Landline,1,0.9036,0.8324,0.5384,0.8494,2018-10-16 23:08:31
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Other,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Bangor Area,50 to 85 percent,Cell,0.4444,0.8495,0.9515,0.5762,0.7568,2018-10-16 23:09:07
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,Don't know,Unfavorable,Favorable,Approve,agree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,Bangor Area,85 percent or higher,Cell,1,0.9069,1.228,0.7916,1.2526,2018-10-16 23:10:01
Dem,18 to 34,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,18 to 29,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,North,85 percent or higher,Landline,1,0.9502,2.8036,2.6118,2.816,2018-10-16 23:10:37
Und,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.5483,0.3459,0.556,2018-10-16 23:10:46
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9344,0.655,0.4152,0.666,2018-10-16 23:11:40
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,Approve,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.6234,0.4072,0.6321,2018-10-16 23:11:49
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Landline,1,0.965,0.8012,0.5442,0.8124,2018-10-16 23:13:28
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.5542,0.337,0.562,2018-10-16 23:14:49
Rep,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,Approve,agree,18 to 29,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Auburn/Lewiston,Less than 50 percent,Landline,0.7778,0.4163,1.6568,3.0945,1.6283,2018-10-16 23:14:58
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,0.8276,0.5095,0.8392,2018-10-16 23:15:16
Und,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,Disapp.,agree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Landline,1,0.9352,1.3266,1.2507,1.3487,2018-10-16 23:16:28
3,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,Approve,agree,30 to 44,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,South/Central,50 to 85 percent,Cell,0.7778,0.6527,2.8507,3.3647,2.7539,2018-10-16 23:16:28
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.965,0.6193,0.4071,0.628,2018-10-16 23:16:39
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,agree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Bangor Area,Less than 50 percent,Landline,1,0.3359,0.7287,1.5628,0.8898,2018-10-16 23:17:06
4,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,Approve,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,Auburn/Lewiston,50 to 85 percent,Landline,0.8889,0.6805,1.1798,1.0357,1.2303,2018-10-16 23:17:06
Rep,50 to 64,High school,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9338,1.5341,1.4401,1.5599,2018-10-16 23:19:21
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.965,1.4162,1.3795,1.4241,2018-10-16 23:20:15
Rep,35 to 49,High school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Republican,Nonwhite,Nonwhite,18 to 39,White,North,85 percent or higher,Landline,1,0.9429,1.9868,1.8004,2.0182,2018-10-16 23:20:24
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,Disapp.,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.965,0.5045,0.3233,0.5115,2018-10-16 23:20:42
Und,50 to 64,High school,White,Female,White,Don't know,Don't know,Unfavorable,Favorable,Approve,Don't know,45 to 64,High School Grad. or Less,Republican,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,85 percent or higher,Landline,0.1111,0.8912,1.6313,1.62,1.0183,2018-10-16 23:22:21
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Don't know,agree,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.534,0.321,0.5446,2018-10-16 23:23:33
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,1.0448,0.6592,1.0506,2018-10-16 23:24:00
Und,18 to 34,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,Disapp.,disagree,30 to 44,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,18 to 39,White,South/Central,85 percent or higher,Landline,0.5556,0.9236,1.6022,1.0841,1.4566,2018-10-16 23:24:18
Und,50 to 64,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North,50 to 85 percent,Landline,0.4444,0.7327,0.9046,0.6968,0.6936,2018-10-16 23:24:54
Und,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,Approve,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Landline,1,0.9591,0.6373,0.401,0.6465,2018-10-16 23:25:03
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,1.1809,1.0703,1.1974,2018-10-16 23:25:21
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,0.9782,0.6927,0.9837,2018-10-16 23:25:39
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Approve,Don't know,Unfavorable,Unfavorable,Approve,agree,65 and older,[DO NOT READ] Don't know/Refused,Other,Male,Somewhat likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.5935,0.3246,0.5853,2018-10-16 23:25:39
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Landline,1,0.9369,0.5802,0.3684,0.5897,2018-10-16 23:26:51
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.8546,0.6193,0.4597,0.6467,2018-10-16 23:28:30
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,50 to 85 percent,Landline,1,0.655,1.5484,1.9741,1.6594,2018-10-16 23:28:48
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.9611,0.6553,0.4227,0.6647,2018-10-16 23:29:24
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,South/Central,Less than 50 percent,Cell,1,0.2554,1.4932,4.0483,1.741,2018-10-16 23:30:18
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,50 to 85 percent,Landline,1,0.6952,1.5217,1.8855,1.6144,2018-10-16 23:30:36
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Landline,0.7778,0.9403,0.736,0.5326,0.727,2018-10-16 23:34:38
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,Approve,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,50 to 85 percent,Landline,1,0.8105,0.6627,0.4899,0.6674,2018-10-16 23:34:38
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,Approve,agree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Landline,0,0.9645,0.6193,0.4073,0.5725,2018-10-16 23:35:59
Dem,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Favorable,Unfavorable,Don't know,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.9648,0.909,0.5678,0.9217,2018-10-16 23:37:02
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South/Central,Less than 50 percent,Landline,1,0.2581,1.1057,4.0674,1.287,2018-10-16 23:37:11
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Favorable,Unfavorable,Approve,agree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.8856,0.7084,0.4962,0.7109,2018-10-16 23:37:38
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.6138,0.3727,0.6224,2018-10-16 23:38:23
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.4929,0.3432,0.4998,2018-10-16 23:40:11
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.9222,0.888,0.693,0.9041,2018-10-16 23:40:47
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,0.8551,0.5871,0.867,2018-10-16 23:43:20
Rep,35 to 49,Some college or trade school,White,Female,White,Disapp.,Don't know,Unfavorable,Favorable,Approve,disagree,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North,50 to 85 percent,Cell,0.8889,0.7079,0.9089,0.8088,0.9024,2018-10-16 23:43:38
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.965,1.4162,1.3795,1.436,2018-10-16 23:44:23
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,0.7389,0.5501,0.743,2018-10-16 23:44:32
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,0.8889,0.956,0.7165,0.4773,0.7236,2018-10-16 23:44:41
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,0.8452,0.5696,0.857,2018-10-16 23:44:59
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,Auburn/Lewiston,85 percent or higher,Landline,1,0.9305,0.6053,0.4484,0.6157,2018-10-16 23:45:53
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.9341,0.6933,0.4532,0.6959,2018-10-16 23:46:11
Rep,50 to 64,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,Unknown/Non-White,Bangor Area,85 percent or higher,Cell,1,0.965,0.9059,0.5652,0.9185,2018-10-16 23:47:13
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,0.6052,0.4321,0.6086,2018-10-16 23:48:25
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,Approve,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.9501,1.341,1.1996,1.3613,2018-10-16 23:48:26
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,0.5495,0.323,0.5526,2018-10-16 23:48:26
